Lat	Lon	Time	Date	Speed
55.5874500000	37.1003466667	15:53:30.400	29/07/16	3.61
55.5874500000	37.1003483333	15:53:30.600	29/07/16	3.44
55.5874483333	37.1003516667	15:53:30.800	29/07/16	3.61
55.5874483333	37.1003550000	15:53:31.000	29/07/16	3.63
55.5874483333	37.1003583333	15:53:31.200	29/07/16	3.61
55.5874483333	37.1003633333	15:53:31.400	29/07/16	3.70
55.5874483333	37.1003666667	15:53:31.600	29/07/16	3.74
55.5874466667	37.1003700000	15:53:31.800	29/07/16	3.83
55.5874466667	37.1003733333	15:53:32.000	29/07/16	3.54
55.5874466667	37.1003766667	15:53:32.200	29/07/16	3.74
55.5874466667	37.1003800000	15:53:32.400	29/07/16	3.04
55.5874466667	37.1003833333	15:53:32.600	29/07/16	2.94
55.5874466667	37.1003866667	15:53:32.800	29/07/16	3.32
55.5874466667	37.1003883333	15:53:33.000	29/07/16	2.96
55.5874483333	37.1003916667	15:53:33.200	29/07/16	2.70
55.5874500000	37.1003916667	15:53:33.400	29/07/16	2.54
55.5874500000	37.1003933333	15:53:33.600	29/07/16	2.78
55.5874516667	37.1003933333	15:53:33.800	29/07/16	2.28
55.5874533333	37.1003933333	15:53:34.000	29/07/16	2.46
55.5874550000	37.1003933333	15:53:34.200	29/07/16	3.07
55.5874566667	37.1003933333	15:53:34.400	29/07/16	2.94
55.5874583333	37.1003916667	15:53:34.600	29/07/16	2.57
55.5874583333	37.1003900000	15:53:34.800	29/07/16	3.15
55.5874600000	37.1003883333	15:53:35.000	29/07/16	2.59
55.5874616667	37.1003866667	15:53:35.200	29/07/16	2.89
55.5874616667	37.1003850000	15:53:35.400	29/07/16	3.09
55.5874633333	37.1003833333	15:53:35.600	29/07/16	3.30
55.5874650000	37.1003816667	15:53:35.800	29/07/16	3.15
55.5874650000	37.1003783333	15:53:36.000	29/07/16	3.07
55.5874650000	37.1003750000	15:53:36.200	29/07/16	3.44
55.5874666667	37.1003733333	15:53:36.400	29/07/16	2.91
55.5874666667	37.1003716667	15:53:36.600	29/07/16	3.46
55.5874683333	37.1003683333	15:53:36.800	29/07/16	3.41
55.5874683333	37.1003666667	15:53:37.000	29/07/16	2.98
55.5874700000	37.1003633333	15:53:37.200	29/07/16	3.35
55.5874700000	37.1003616667	15:53:37.400	29/07/16	3.37
55.5874700000	37.1003583333	15:53:37.600	29/07/16	3.63
55.5874716667	37.1003550000	15:53:37.800	29/07/16	4.19
55.5874733333	37.1003533333	15:53:38.000	29/07/16	3.80
55.5874733333	37.1003500000	15:53:38.200	29/07/16	3.82
55.5874733333	37.1003466667	15:53:38.400	29/07/16	3.93
55.5874750000	37.1003433333	15:53:38.600	29/07/16	3.78
55.5874750000	37.1003416667	15:53:38.800	29/07/16	3.26
55.5874766667	37.1003400000	15:53:39.000	29/07/16	3.43
55.5874766667	37.1003366667	15:53:39.200	29/07/16	2.52
55.5874783333	37.1003350000	15:53:39.400	29/07/16	2.13
55.5874783333	37.1003333333	15:53:39.600	29/07/16	1.69
55.5874783333	37.1003316667	15:53:39.800	29/07/16	0.81
55.5874783333	37.1003316667	15:53:40.000	29/07/16	0.76
55.5874783333	37.1003316667	15:53:40.200	29/07/16	0.59
55.5874783333	37.1003316667	15:53:40.400	29/07/16	0.30
55.5874783333	37.1003316667	15:53:40.600	29/07/16	0.20
55.5874783333	37.1003316667	15:53:40.800	29/07/16	0.24
55.5874800000	37.1003316667	15:53:41.000	29/07/16	0.31
55.5874800000	37.1003316667	15:53:41.200	29/07/16	0.13
55.5874800000	37.1003316667	15:53:41.400	29/07/16	0.11
55.5874800000	37.1003316667	15:53:41.600	29/07/16	0.13
55.5874800000	37.1003316667	15:53:41.800	29/07/16	0.11
55.5874800000	37.1003316667	15:53:42.000	29/07/16	0.09
55.5874800000	37.1003316667	15:53:42.200	29/07/16	0.22
55.5874800000	37.1003316667	15:53:42.400	29/07/16	0.15
55.5874800000	37.1003316667	15:53:42.600	29/07/16	0.09
55.5874800000	37.1003316667	15:53:42.800	29/07/16	0.20
55.5874800000	37.1003316667	15:53:43.000	29/07/16	0.17
55.5874800000	37.1003316667	15:53:43.200	29/07/16	0.09
55.5874800000	37.1003316667	15:53:43.400	29/07/16	0.13
55.5874800000	37.1003316667	15:53:43.600	29/07/16	0.02
55.5874800000	37.1003316667	15:53:43.800	29/07/16	0.11
55.5874800000	37.1003316667	15:53:44.000	29/07/16	0.13
55.5874800000	37.1003316667	15:53:44.200	29/07/16	0.09
55.5874800000	37.1003316667	15:53:44.400	29/07/16	0.07
55.5874800000	37.1003316667	15:53:44.600	29/07/16	0.52
55.5874800000	37.1003316667	15:53:44.800	29/07/16	0.50
55.5874800000	37.1003333333	15:53:45.000	29/07/16	0.11
